E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
9.48297, 7.01798, 1.32818e-13, 16.7216, 0.000925998
8.76882, 7.01798, 1.4395e-13, 16.0075, 0.00209109
8.55323, 7.01798, 7.03687e-14, 15.7919, 0.00243931
9.93278, 7.01798, 7.84602e-14, 17.1714, 0.00369893
7.88119, 7.01798, 1.90149e-16, 15.1198, 0.0015677
7.59095, 7.01798, 8.39716e-16, 14.8296, 0.00288755
7.66177, 7.01798, 2.74359e-15, 14.9004, 0.0069348
10.5682, 7.01798, 1.78972e-15, 17.8069, 0.00588801
13.8043, 7.01798, 2.47132e-15, 21.0429, 0.00728032
5.03034, 7.01798, 2.87097e-15, 12.269, 0.00190494
